DatGeracaoConjuntoDados;AnoReferencia;MesReferencia;NomUF;SigUF;MdaPotenciaInstaladakW
2026-07-01;2006;12;ACRE;AC;141760,50
2026-07-01;2006;12;ALAGOAS;AL;7626936,50
2026-07-01;2006;12;AMAZONAS;AM;2105228,60
2026-07-01;2006;12;AMAPA;AP;273950,00
2026-07-01;2006;12;BAHIA;BA;8899100,90
2026-07-01;2006;12;CEARA;CE;703170,00
2026-07-01;2006;12;DISTRITO FEDERAL;DF;39700,00
2026-07-01;2006;12;ESPIRITO SANTO;ES;1165516,00
2026-07-01;2006;12;GOIAS;GO;8605256,40
2026-07-01;2006;12;MARANHAO;MA;247612,00
2026-07-01;2006;12;MINAS GERAIS;MG;18031374,95
2026-07-01;2006;12;MATO GROSSO DO SUL;MS;7324683,00
2026-07-01;2006;12;MATO GROSSO;MT;1917727,20
2026-07-01;2006;12;PARA;PA;7524644,20
2026-07-01;2006;12;PARAIBA;PB;50936,00
2026-07-01;2006;12;PERNAMBUCO;PE;2382832,70
2026-07-01;2006;12;PIAUI;PI;290010,00
2026-07-01;2006;12;PARANA;PR;17468332,00
2026-07-01;2006;12;RIO DE JANEIRO;RJ;7404536,40
2026-07-01;2006;12;RIO GRANDE DO NORTE;RN;88956,00
2026-07-01;2006;12;RONDONIA;RO;888626,08
2026-07-01;2006;12;RORAIMA;RR;118030,40
2026-07-01;2006;12;RIO GRANDE DO SUL;RS;6598474,60
2026-07-01;2006;12;SANTA CATARINA;SC;5159682,60
2026-07-01;2006;12;SERGIPE;SE;3174374,40
2026-07-01;2006;12;SÃO PAULO;SP;21404762,90
2026-07-01;2006;12;TOCANTINS;TO;1451910,00
2026-07-01;2007;12;ACRE;AC;141349,30
2026-07-01;2007;12;ALAGOAS;AL;7656836,50
2026-07-01;2007;12;AMAZONAS;AM;1904359,60
2026-07-01;2007;12;AMAPA;AP;273956,00
2026-07-01;2007;12;BAHIA;BA;8915075,90
2026-07-01;2007;12;CEARA;CE;730420,00
2026-07-01;2007;12;DISTRITO FEDERAL;DF;42120,00
2026-07-01;2007;12;ESPIRITO SANTO;ES;1390876,00
2026-07-01;2007;12;GOIAS;GO;8606664,40
2026-07-01;2007;12;MARANHAO;MA;247080,80
2026-07-01;2007;12;MINAS GERAIS;MG;18207831,95
2026-07-01;2007;12;MATO GROSSO DO SUL;MS;7361447,00
2026-07-01;2007;12;MATO GROSSO;MT;1984299,42
2026-07-01;2007;12;PARA;PA;8861181,20
2026-07-01;2007;12;PARAIBA;PB;61136,00
2026-07-01;2007;12;PERNAMBUCO;PE;2388832,70
2026-07-01;2007;12;PIAUI;PI;290010,00
2026-07-01;2007;12;PARANA;PR;17547298,00
2026-07-01;2007;12;RIO DE JANEIRO;RJ;7672987,40
2026-07-01;2007;12;RIO GRANDE DO NORTE;RN;88956,00
2026-07-01;2007;12;RONDONIA;RO;896881,48
2026-07-01;2007;12;RORAIMA;RR;118102,40
2026-07-01;2007;12;RIO GRANDE DO SUL;RS;6640554,60
2026-07-01;2007;12;SANTA CATARINA;SC;5538453,60
2026-07-01;2007;12;SERGIPE;SE;3175004,40
2026-07-01;2007;12;SÃO PAULO;SP;21618887,30
2026-07-01;2007;12;TOCANTINS;TO;1468447,00
2026-07-01;2008;12;ACRE;AC;141350,30
2026-07-01;2008;12;ALAGOAS;AL;7670436,50
2026-07-01;2008;12;AMAZONAS;AM;2044287,00
2026-07-01;2008;12;AMAPA;AP;273993,00
2026-07-01;2008;12;BAHIA;BA;8948287,90
2026-07-01;2008;12;CEARA;CE;730420,00
2026-07-01;2008;12;DISTRITO FEDERAL;DF;42120,00
2026-07-01;2008;12;ESPIRITO SANTO;ES;1410876,00
2026-07-01;2008;12;GOIAS;GO;8737405,60
2026-07-01;2008;12;MARANHAO;MA;254280,80
2026-07-01;2008;12;MINAS GERAIS;MG;18403127,45
2026-07-01;2008;12;MATO GROSSO DO SUL;MS;7375947,00
2026-07-01;2008;12;MATO GROSSO;MT;2027430,62
2026-07-01;2008;12;PARA;PA;8753570,40
2026-07-01;2008;12;PARAIBA;PB;61136,00
2026-07-01;2008;12;PERNAMBUCO;PE;2418564,70
2026-07-01;2008;12;PIAUI;PI;290010,00
2026-07-01;2008;12;PARANA;PR;17616126,00
2026-07-01;2008;12;RIO DE JANEIRO;RJ;7763037,40
2026-07-01;2008;12;RIO GRANDE DO NORTE;RN;147426,00
2026-07-01;2008;12;RONDONIA;RO;902441,48
2026-07-01;2008;12;RORAIMA;RR;117278,40
2026-07-01;2008;12;RIO GRANDE DO SUL;RS;6826128,60
2026-07-01;2008;12;SANTA CATARINA;SC;5570153,60
2026-07-01;2008;12;SERGIPE;SE;3184804,40
2026-07-01;2008;12;SÃO PAULO;SP;21802871,70
2026-07-01;2008;12;TOCANTINS;TO;1477747,00
2026-07-01;2009;12;ACRE;AC;142542,30
2026-07-01;2009;12;ALAGOAS;AL;7662276,50
2026-07-01;2009;12;AMAZONAS;AM;2129933,00
2026-07-01;2009;12;AMAPA;AP;296249,00
2026-07-01;2009;12;BAHIA;BA;9089798,90
2026-07-01;2009;12;CEARA;CE;834850,00
2026-07-01;2009;12;DISTRITO FEDERAL;DF;42120,00
2026-07-01;2009;12;ESPIRITO SANTO;ES;1524806,00
2026-07-01;2009;12;GOIAS;GO;8765159,60
2026-07-01;2009;12;MARANHAO;MA;265184,80
2026-07-01;2009;12;MINAS GERAIS;MG;18403433,45
2026-07-01;2009;12;MATO GROSSO DO SUL;MS;7655701,00
2026-07-01;2009;12;MATO GROSSO;MT;2099130,62
2026-07-01;2009;12;PARA;PA;8716065,40
2026-07-01;2009;12;PARAIBA;PB;115886,00
2026-07-01;2009;12;PERNAMBUCO;PE;2704028,70
2026-07-01;2009;12;PIAUI;PI;316810,00
2026-07-01;2009;12;PARANA;PR;17641764,00
2026-07-01;2009;12;RIO DE JANEIRO;RJ;7827536,40
2026-07-01;2009;12;RIO GRANDE DO NORTE;RN;582076,00
2026-07-01;2009;12;RONDONIA;RO;914148,48
2026-07-01;2009;12;RORAIMA;RR;127410,40
2026-07-01;2009;12;RIO GRANDE DO SUL;RS;7006976,60
2026-07-01;2009;12;SANTA CATARINA;SC;5628259,10
2026-07-01;2009;12;SERGIPE;SE;3191484,40
2026-07-01;2009;12;SÃO PAULO;SP;22350906,90
2026-07-01;2009;12;TOCANTINS;TO;1521183,00
2026-07-01;2010;12;ACRE;AC;132998,30
2026-07-01;2010;12;ALAGOAS;AL;7674826,50
2026-07-01;2010;12;AMAZONAS;AM;2139920,60
2026-07-01;2010;12;AMAPA;AP;296249,00
2026-07-01;2010;12;BAHIA;BA;9294250,90
2026-07-01;2010;12;CEARA;CE;1066034,00
2026-07-01;2010;12;DISTRITO FEDERAL;DF;42120,00
2026-07-01;2010;12;ESPIRITO SANTO;ES;1758851,00
2026-07-01;2010;12;GOIAS;GO;8904031,60
2026-07-01;2010;12;MARANHAO;MA;672124,80
2026-07-01;2010;12;MINAS GERAIS;MG;18714031,45
2026-07-01;2010;12;MATO GROSSO DO SUL;MS;7826471,00
2026-07-01;2010;12;MATO GROSSO;MT;2138459,82
2026-07-01;2010;12;PARA;PA;8736433,40
2026-07-01;2010;12;PARAIBA;PB;115886,00
2026-07-01;2010;12;PERNAMBUCO;PE;2716941,70
2026-07-01;2010;12;PIAUI;PI;316810,00
2026-07-01;2010;12;PARANA;PR;17787354,00
2026-07-01;2010;12;RIO DE JANEIRO;RJ;7870648,40
2026-07-01;2010;12;RIO GRANDE DO NORTE;RN;582076,00
2026-07-01;2010;12;RONDONIA;RO;933159,48
2026-07-01;2010;12;RORAIMA;RR;127410,40
2026-07-01;2010;12;RIO GRANDE DO SUL;RS;7150077,60
2026-07-01;2010;12;SANTA CATARINA;SC;5884521,10
2026-07-01;2010;12;SERGIPE;SE;3199544,40
2026-07-01;2010;12;SÃO PAULO;SP;22966983,90
2026-07-01;2010;12;TOCANTINS;TO;1795333,00
2026-07-01;2011;12;ACRE;AC;136843,00
2026-07-01;2011;12;ALAGOAS;AL;7690487,00
2026-07-01;2011;12;AMAZONAS;AM;2174906,00
2026-07-01;2011;12;AMAPA;AP;297949,00
2026-07-01;2011;12;BAHIA;BA;9724503,00
2026-07-01;2011;12;CEARA;CE;1381485,00
2026-07-01;2011;12;DISTRITO FEDERAL;DF;43258,00
2026-07-01;2011;12;ESPIRITO SANTO;ES;1966948,00
2026-07-01;2011;12;GOIAS;GO;9903194,00
2026-07-01;2011;12;MARANHAO;MA;1180450,00
2026-07-01;2011;12;MINAS GERAIS;MG;19500264,00
2026-07-01;2011;12;MATO GROSSO DO SUL;MS;8224679,00
2026-07-01;2011;12;MATO GROSSO;MT;2584740,00
2026-07-01;2011;12;PARA;PA;8872744,00
2026-07-01;2011;12;PARAIBA;PB;637470,00
2026-07-01;2011;12;PERNAMBUCO;PE;2806382,00
2026-07-01;2011;12;PIAUI;PI;316944,00
2026-07-01;2011;12;PARANA;PR;17753342,00
2026-07-01;2011;12;RIO DE JANEIRO;RJ;8667164,00
2026-07-01;2011;12;RIO GRANDE DO NORTE;RN;743320,00
2026-07-01;2011;12;RONDONIA;RO;1007058,00
